word1	word2	easiness
pushy	dandruff	-6.417
slum	beginner	-6.445
thaw	slander	-6.493
pushy	sorrow	-6.56
electrician	meteor	-6.568
snot	klutz	-6.584
stalk	sly	-6.6
soot	busybody	-6.664
blinds	astrology	-6.665
ten	daiquiri	-6.665
turnip	adverb	-6.696
musk	howl	-6.708
aggravate	twenty	-6.712
uptight	cuddle	-6.782
vaseline	squeal	-6.802
meteorite	chirp	-6.824
conceited	damp	-6.846
antlers	holler	-6.888
gymnast	lubricant	-6.898
bandanna	sparkle	-6.937
earnestness	elves	-7.01
radiator	bravery	-7.077
stench	eraser	-7.086
nylons	electrician	-7.087
scold	rot	-7.101
musty	snob	-7.131
musk	nosy	-7.147
slurp	ten	-7.165
casket	ballerina	-7.196
dwarves	volt	-7.196
stench	dendrite	-7.22
tact	clippers	-7.307
gauze	creak	-7.341
nauseous	wanderer	-7.363
bandit	suffocate	-7.408
snuggle	learner	-7.489
mirage	truthfulness	-7.508
kindness	swerve	-7.528
tricycle	toenail	-7.565
libel	defrost	-7.574
toasty	snot	-7.604
periscope	eucalyptus	-7.677
copier	roadrunner	-7.755
fuzz	doodle	-7.872
vaseline	sly	-7.911
lint	kindness	-7.943
vaseline	uncaring	-7.971
amaze	vaseline	-7.987
amaze	fondle	-7.987
chalkboard	scold	-8.025
sinker	bandanna	-8.162
meek	acrobats	-8.19
apathetic	astound	-8.225
repentance	moisten	-8.259
handkerchief	chewy	-8.271
headband	tarp	-8.384
ointment	slushy	-8.4
vaseline	limber	-8.57
defrost	breezeway	-8.626
squeak	bandaid	-8.634
nosy	corrode	-8.654
doze	booger	-8.685
ointment	tattle	-8.685
quiver	conceited	-8.697
stingy	slink	-8.74
headband	floater	-8.751
slurp	neosporin	-8.762
shears	tactful	-8.863
zit	ruffle	-8.863
horoscope	daze	-8.979
stingy	spook	-9.011
bandanna	godliness	-9.221
wart	unloved	-9.23
scribble	cheater	-9.245
termite	booboo	-9.268
lubricate	hypnotize	-9.333
twelve	chapped	-9.38
caress	astonish	-9.417
disown	blemish	-9.55
hypnotize	conceited	-9.566
suffocate	untie	-9.653
zit	salami	-9.747
haughty	attache	-9.813
earnestness	blackboard	-9.829
reprimand	kaleidoscope	-9.891
menthol	friendliness	-9.963
horoscope	verticals	-10.147
tact	fasten	-10.408
valor	coolant	-10.472
slither	miser	-10.501
bandaid	goblin	-10.63
wart	eleven	-10.65
frill	blemish	-10.733
lubricate	booger	-10.734
holiness	kerchief	-10.84
ghoul	zit	-11.213
haughty	mesmerize	-11.214
canvass	wristband	-11.73
paperclip	couth	-11.73
